"saat","tarix1","hefte","kwh"
"3PM",2014-11-20,"четверг","0.151kwh"
"6PM",2014-03-17,"понедельник","1.165kwh"
"1AM",2014-01-22,"среда","0.376kwh"
"11PM",2014-07-03,"четверг","1.164kwh"
"6AM",2014-03-13,"четверг","1.066kwh"
"8PM",2014-02-24,"понедельник","2.304kwh"
"10AM",2014-06-04,"среда","0.655kwh"
"3PM",2014-03-02,"воскресенье","0.842kwh"
"4PM",2014-07-16,"среда","0.998kwh"
"12PM",2014-02-23,"воскресенье","0.583kwh"
"3AM",2014-01-13,"понедельник","40.38kwh"
"1PM",2014-10-16,"четверг","40.25kwh"
"1AM",2014-12-29,"понедельник","40.22kwh"
"12PM",2014-05-07,"среда","0.416kwh"
"6PM",2014-02-22,"суббота","2.462kwh"
"8AM",2014-07-15,"вторник","0.835kwh"
"1AM",2014-07-29,"вторник","0.576kwh"
"9AM",2014-02-24,"понедельник","0.324kwh"
"3AM",2014-03-11,"вторник","0.155kwh"
"6PM",2014-04-18,"пятница","0.445kwh"
"1PM",2014-03-07,"пятница","0.285kwh"
"8AM",2014-10-02,"четверг","0.192kwh"
"6AM",2014-08-30,"суббота","0.998kwh"
"3AM",2014-12-17,"среда","0.209kwh"
"3AM",2014-09-09,"вторник","0.157kwh"
"11AM",2014-12-24,"среда","0.578kwh"
"8PM",2014-04-17,"четверг","0.418kwh"
"2PM",2014-06-05,"четверг","40.59kwh"
"5AM",2014-01-15,"среда","2.574kwh"
"11AM",2014-10-15,"среда","0.351kwh"
"5AM",2014-09-19,"пятница","0.924kwh"
"9AM",2014-12-24,"среда","40.37kwh"
"4PM",2014-04-08,"вторник","0.144kwh"
"2PM",2014-08-20,"среда","0.576kwh"
"12AM",2014-04-26,"суббота","0.194kwh"
"8AM",2014-07-20,"воскресенье","2.558kwh"
"2AM",2014-09-09,"вторник","0.158kwh"
"9AM",2014-05-23,"пятница","0.209kwh"
"9AM",2014-09-22,"понедельник","0.174kwh"
"12PM",2014-03-21,"пятница","0.416kwh"
"10AM",2014-12-30,"вторник","0.431kwh"
"1PM",2014-03-12,"среда","0.294kwh"
"3AM",2014-11-16,"воскресенье","0.122kwh"
"6AM",2014-11-15,"суббота","0.367kwh"
"1PM",2014-10-08,"среда","0.223kwh"
"11PM",2014-05-25,"воскресенье","0.372kwh"
"7PM",2014-11-18,"вторник","0.778kwh"
"12PM",2014-02-26,"среда","0.702kwh"
"10PM",2014-09-19,"пятница","0.412kwh"
"10AM",2014-04-13,"воскресенье","0.166kwh"
"6AM",2014-08-21,"четверг","1.166kwh"
"3AM",2014-05-21,"среда","0.162kwh"
"5AM",2014-10-30,"четверг","0.601kwh"
"9PM",2014-06-06,"пятница","0.785kwh"
"11AM",2014-12-30,"вторник","0.446kwh"
"7PM",2014-07-15,"вторник","4.277kwh"
"1AM",2014-08-25,"понедельник","0.226kwh"
"12AM",2014-08-13,"среда","0.396kwh"
"10AM",2014-02-21,"пятница","0.413kwh"
"7PM",2014-07-22,"вторник","4.277kwh"
"2AM",2014-03-14,"пятница","0.152kwh"
"8AM",2014-02-24,"понедельник","0.461kwh"
"11AM",2014-01-20,"понедельник","40.93kwh"
"7PM",2014-07-13,"воскресенье","4.925kwh"
"8PM",2014-04-28,"понедельник","0.538kwh"
"9AM",2014-12-08,"понедельник","40.30kwh"
"2PM",2014-07-26,"суббота","2.189kwh"
"7AM",2014-10-31,"пятница","0.556kwh"
"12PM",2014-05-14,"среда","0.372kwh"
"7PM",2014-01-22,"среда","3.564kwh"
"4PM",2014-09-04,"четверг","0.269kwh"
"10PM",2014-06-15,"воскресенье","1.035kwh"
"7AM",2014-07-19,"суббота","2.909kwh"
"2PM",2014-12-25,"четверг","40.40kwh"
"2PM",2014-01-14,"вторник","0.672kwh"
"2PM",2014-12-12,"пятница","0.488kwh"
"1PM",2014-05-22,"четверг","0.317kwh"
"1AM",2014-01-31,"пятница","0.436kwh"
"3AM",2014-07-20,"воскресенье","0.806kwh"
"4AM",2014-12-12,"пятница","0.176kwh"
"4AM",2014-01-29,"среда","0.324kwh"
"7AM",2014-06-28,"суббота","2.354kwh"
"5PM",2014-01-30,"четверг","42.73kwh"
"8AM",2014-10-24,"пятница","40.24kwh"
"3PM",2014-10-27,"понедельник","0.286kwh"
"2AM",2014-05-24,"суббота","0.204kwh"
"6PM",2014-07-31,"четверг","3.494kwh"
"5PM",2014-12-17,"среда","1.187kwh"
"8AM",2014-06-01,"воскресенье","2.083kwh"
"2PM",2014-08-11,"понедельник","0.514kwh"
"12PM",2014-06-01,"воскресенье","40.94kwh"
"9PM",2014-04-05,"суббота","0.113kwh"
"7PM",2014-11-29,"суббота","0.689kwh"
"8PM",2014-04-13,"воскресенье","0.524kwh"
"12AM",2014-08-19,"вторник","0.346kwh"
"4AM",2014-04-28,"понедельник","0.061kwh"
"11PM",2014-10-24,"пятница","0.648kwh"
"7AM",2014-04-15,"вторник","0.216kwh"
"10PM",2014-05-24,"суббота","0.368kwh"
"8AM",2014-04-15,"вторник","0.108kwh"
"6AM",2014-07-14,"понедельник","3.168kwh"
"3AM",2014-06-23,"понедельник","40.32kwh"
"4PM",2014-02-13,"четверг","0.523kwh"
"6PM",2014-11-17,"понедельник","0.662kwh"
"8AM",2014-01-27,"понедельник","0.864kwh"
"10AM",2014-07-22,"вторник","1.133kwh"
"2AM",2014-01-19,"воскресенье","0.684kwh"
"6PM",2014-01-25,"суббота","3.492kwh"
"9AM",2014-10-31,"пятница","0.173kwh"
"5AM",2014-01-26,"воскресенье","0.618kwh"
"1AM",2014-02-19,"среда","0.233kwh"
"11AM",2014-01-24,"пятница","41.10kwh"
"5PM",2014-03-28,"пятница","1.009kwh"
"3AM",2014-09-19,"пятница","0.155kwh"
"9PM",2014-06-22,"воскресенье","1.069kwh"
"2PM",2014-03-24,"понедельник","0.307kwh"
"6PM",2014-06-23,"понедельник","2.041kwh"
"6AM",2014-06-16,"понедельник","2.225kwh"
"4AM",2014-05-13,"вторник","0.186kwh"
"10PM",2014-11-27,"четверг","0.207kwh"
"9AM",2014-06-21,"суббота","41.49kwh"
"2PM",2014-01-12,"воскресенье","1.824kwh"
"7AM",2014-03-19,"среда","0.799kwh"
"8AM",2014-06-14,"суббота","2.574kwh"
"3PM",2014-12-14,"воскресенье","0.842kwh"
"12PM",2014-03-12,"среда","0.348kwh"
"7AM",2014-02-24,"понедельник","40.95kwh"
"6PM",2014-09-21,"воскресенье","41.21kwh"
"4PM",2014-04-16,"среда","0.121kwh"
"7PM",2014-09-01,"понедельник","1.197kwh"
"3AM",2014-11-04,"вторник","0.084kwh"
"6PM",2014-11-10,"понедельник","0.687kwh"
"12AM",2014-12-31,"среда","40.36kwh"
"3AM",2014-03-22,"суббота","40.24kwh"
"9AM",2014-06-19,"четверг","0.437kwh"
"1AM",2014-03-26,"среда","0.149kwh"
"1PM",2014-09-11,"четверг","40.23kwh"
"9AM",2014-06-26,"четверг","0.637kwh"
"6AM",2014-06-20,"пятница","2.441kwh"
"7AM",2014-08-17,"воскресенье","41.44kwh"
"9AM",2014-02-21,"пятница","40.40kwh"
"12PM",2014-04-22,"вторник","0.147kwh"
"8AM",2014-03-24,"понедельник","0.349kwh"
"12AM",2014-06-12,"четверг","0.432kwh"
"9PM",2014-11-23,"воскресенье","0.311kwh"
"11AM",2014-04-27,"воскресенье","0.169kwh"
"8AM",2014-01-08,"среда","0.912kwh"
"8PM",2014-04-18,"пятница","0.576kwh"
"7AM",2014-09-17,"среда","0.542kwh"
"8PM",2014-08-31,"воскресенье","2.095kwh"
"1AM",2014-12-24,"среда","0.255kwh"
"6PM",2014-05-25,"воскресенье","1.267kwh"
"1PM",2014-06-13,"пятница","0.583kwh"
"9PM",2014-11-18,"вторник","0.308kwh"
"3PM",2014-11-10,"понедельник","0.176kwh"
"10PM",2014-01-23,"четверг","41.07kwh"
"2PM",2014-07-13,"воскресенье","41.92kwh"
"2AM",2014-02-28,"пятница","0.211kwh"
"1PM",2014-03-24,"понедельник","0.288kwh"
"12AM",2014-04-27,"воскресенье","0.283kwh"
"2AM",2014-01-08,"среда","0.444kwh"
"5AM",2014-01-24,"пятница","2.178kwh"
"9AM",2014-07-19,"суббота","2.506kwh"
"5AM",2014-12-25,"четверг","1.379kwh"
"2PM",2014-01-22,"среда","0.712kwh"
"2PM",2014-07-09,"среда","1.152kwh"
"10AM",2014-08-20,"среда","0.466kwh"
"11PM",2014-03-17,"понедельник","0.388kwh"
"2AM",2014-11-10,"понедельник","0.098kwh"
"11PM",2014-08-24,"воскресенье","0.546kwh"
"9AM",2014-07-30,"среда","0.778kwh"
"6PM",2014-06-20,"пятница","2.948kwh"
"7PM",2014-11-11,"вторник","0.705kwh"
"4AM",2014-06-28,"суббота","0.486kwh"
"11AM",2014-04-28,"понедельник","0.147kwh"
"2PM",2014-02-24,"понедельник","0.466kwh"
"11AM",2014-02-23,"воскресенье","0.634kwh"
"2AM",2014-03-19,"среда","0.176kwh"
"3AM",2014-12-29,"понедельник","0.196kwh"
"8AM",2014-12-15,"понедельник","0.449kwh"
"4PM",2014-11-26,"среда","0.148kwh"
"11AM",2014-06-09,"понедельник","0.792kwh"
"7PM",2014-05-13,"вторник","41.44kwh"
"3PM",2014-08-10,"воскресенье","1.156kwh"
"7PM",2014-09-13,"суббота","1.071kwh"
"7PM",2014-09-06,"суббота","1.184kwh"
"9AM",2014-05-06,"вторник","0.238kwh"
"12AM",2014-07-20,"воскресенье","1.901kwh"
"8PM",2014-03-14,"пятница","1.408kwh"
"8AM",2014-04-23,"среда","0.112kwh"
"4AM",2014-04-24,"четверг","0.071kwh"
"7AM",2014-01-03,"пятница","41.80kwh"
"2AM",2014-06-03,"вторник","40.36kwh"
"7AM",2014-10-22,"среда","40.47kwh"
"11PM",2014-02-13,"четверг","0.618kwh"
"1AM",2014-04-28,"понедельник","0.058kwh"
"3PM",2014-07-15,"вторник","1.066kwh"
"8PM",2014-05-18,"воскресенье","41.44kwh"
"8PM",2014-06-27,"пятница","2.851kwh"
"9PM",2014-03-09,"воскресенье","0.528kwh"
"8PM",2014-11-28,"пятница","0.864kwh"
"10PM",2014-05-11,"воскресенье","0.452kwh"
"1PM",2014-02-27,"четверг","0.437kwh"
"5PM",2014-05-20,"вторник","0.905kwh"
"12PM",2014-11-23,"воскресенье","0.284kwh"
"7AM",2014-07-10,"четверг","2.052kwh"
"12AM",2014-10-08,"среда","0.189kwh"
"12AM",2014-02-17,"понедельник","0.367kwh"
"11AM",2014-02-28,"пятница","40.63kwh"
"2AM",2014-07-18,"пятница","0.499kwh"
"2PM",2014-12-02,"вторник","0.387kwh"
"8PM",2014-03-13,"четверг","1.216kwh"
"10PM",2014-09-11,"четверг","0.399kwh"
"5AM",2014-07-15,"вторник","2.534kwh"
"11AM",2014-02-25,"вторник","40.54kwh"
"7PM",2014-09-23,"вторник","1.424kwh"
"1PM",2014-05-28,"среда","0.358kwh"
"5PM",2014-09-14,"воскресенье","0.674kwh"
"11AM",2014-01-28,"вторник","40.98kwh"
"4PM",2014-09-16,"вторник","40.26kwh"
"10AM",2014-02-23,"воскресенье","0.662kwh"
"2AM",2014-10-21,"вторник","0.107kwh"
"4PM",2014-05-19,"понедельник","0.314kwh"
"9PM",2014-05-24,"суббота","0.301kwh"
"8AM",2014-03-18,"вторник","0.362kwh"
"10AM",2014-02-24,"понедельник","0.523kwh"
"12PM",2014-05-12,"понедельник","0.376kwh"
"1AM",2014-07-25,"пятница","0.509kwh"
"6AM",2014-07-10,"четверг","43.11kwh"
"4AM",2014-12-25,"четверг","0.178kwh"
"5AM",2014-10-27,"понедельник","0.594kwh"
"5AM",2014-04-02,"среда","0.363kwh"
"5AM",2014-09-16,"вторник","0.816kwh"
"6AM",2014-04-29,"вторник","0.364kwh"
"12AM",2014-10-21,"вторник","0.176kwh"
"3PM",2014-02-13,"четверг","0.456kwh"
"10AM",2014-10-16,"четверг","0.274kwh"
"7PM",2014-01-12,"воскресенье","4.248kwh"
"11PM",2014-03-14,"пятница","40.96kwh"
"2PM",2014-02-09,"воскресенье","0.826kwh"
"2PM",2014-05-21,"среда","0.291kwh"
"4AM",2014-10-15,"среда","0.142kwh"
"9PM",2014-07-18,"пятница","0.893kwh"
"12AM",2014-04-30,"среда","0.092kwh"
"9AM",2014-03-19,"среда","0.228kwh"
"8AM",2014-10-26,"воскресенье","40.85kwh"
"6PM",2014-11-25,"вторник","0.725kwh"
"12AM",2014-02-28,"пятница","0.374kwh"
"11PM",2014-11-09,"воскресенье","0.218kwh"
"3PM",2014-01-25,"суббота","42.16kwh"
"7PM",2014-07-27,"воскресенье","4.277kwh"
"11PM",2014-07-23,"среда","1.404kwh"
"6AM",2014-09-11,"четверг","0.874kwh"
"10AM",2014-08-24,"воскресенье","0.619kwh"
"10AM",2014-05-15,"четверг","0.307kwh"
"9PM",2014-09-21,"воскресенье","0.433kwh"
"1PM",2014-01-28,"вторник","40.72kwh"
"9AM",2014-01-20,"понедельник","0.636kwh"
"2AM",2014-05-30,"пятница","0.174kwh"
"10AM",2014-11-10,"понедельник","0.193kwh"
"10AM",2014-10-26,"воскресенье","0.295kwh"
"8PM",2014-09-21,"воскресенье","1.084kwh"
"5PM",2014-06-20,"пятница","2.036kwh"
"8PM",2014-02-11,"вторник","1.882kwh"
"11AM",2014-09-14,"воскресенье","0.353kwh"
"11AM",2014-09-23,"вторник","0.357kwh"
"3AM",2014-10-10,"пятница","0.139kwh"
"1PM",2014-01-07,"вторник","0.672kwh"
"8PM",2014-11-16,"воскресенье","0.867kwh"
"1PM",2014-07-20,"воскресенье","41.57kwh"
"5PM",2014-05-09,"пятница","0.998kwh"
"5AM",2014-05-25,"воскресенье","0.288kwh"
"2AM",2014-01-12,"воскресенье","0.582kwh"
"9PM",2014-06-09,"понедельник","1.102kwh"
"1PM",2014-09-26,"пятница","0.235kwh"
"8AM",2014-12-05,"пятница","0.427kwh"
"9PM",2014-03-19,"среда","40.49kwh"
"7PM",2014-02-24,"понедельник","2.484kwh"
"5PM",2014-08-07,"четверг","1.326kwh"
"8AM",2014-12-16,"вторник","0.392kwh"
"8AM",2014-06-28,"суббота","2.457kwh"
"2AM",2014-02-17,"понедельник","0.242kwh"
"7PM",2014-04-28,"понедельник","0.648kwh"
"12AM",2014-07-14,"понедельник","0.749kwh"
"1PM",2014-10-26,"воскресенье","40.32kwh"
"7PM",2014-09-25,"четверг","1.109kwh"
"6PM",2014-04-28,"понедельник","0.479kwh"
"8AM",2014-04-17,"четверг","0.138kwh"
"7AM",2014-02-12,"среда","1.253kwh"
"4AM",2014-06-17,"вторник","0.432kwh"
"5PM",2014-04-19,"суббота","0.284kwh"
"11AM",2014-04-11,"пятница","0.173kwh"
"3AM",2014-11-21,"пятница","0.086kwh"
"8PM",2014-12-22,"понедельник","1.813kwh"
"11PM",2014-04-27,"воскресенье","0.141kwh"
"4AM",2014-07-25,"пятница","0.557kwh"
"6PM",2014-07-13,"воскресенье","4.838kwh"
"3AM",2014-05-20,"вторник","0.176kwh"
"3PM",2014-05-23,"пятница","0.278kwh"
"4PM",2014-07-05,"суббота","42.03kwh"
"10AM",2014-12-28,"воскресенье","0.614kwh"
"1AM",2014-10-30,"четверг","0.122kwh"
"3AM",2014-08-14,"четверг","0.286kwh"
"6AM",2014-02-08,"суббота","1.046kwh"
"7AM",2014-12-21,"воскресенье","1.214kwh"
"1AM",2014-01-12,"воскресенье","0.558kwh"
"12PM",2014-09-14,"воскресенье","0.336kwh"
"11AM",2014-05-11,"воскресенье","40.47kwh"
"6PM",2014-04-20,"воскресенье","0.535kwh"
"5AM",2014-11-27,"четверг","0.411kwh"
"5PM",2014-05-16,"пятница","1.134kwh"
"3PM",2014-09-03,"среда","0.277kwh"
"10AM",2014-06-30,"понедельник","40.72kwh"
"3PM",2014-04-20,"воскресенье","0.248kwh"
"6PM",2014-07-26,"суббота","4.277kwh"
"1PM",2014-06-16,"понедельник","0.835kwh"
"4AM",2014-08-23,"суббота","0.403kwh"
"3AM",2014-11-11,"вторник","40.09kwh"
"6AM",2014-10-11,"суббота","40.48kwh"
"4AM",2014-01-26,"воскресенье","0.666kwh"
"5AM",2014-12-01,"понедельник","1.428kwh"
"8PM",2014-05-25,"воскресенье","1.166kwh"
"6AM",2014-01-06,"понедельник","2.472kwh"
"7PM",2014-09-18,"четверг","1.159kwh"
"4PM",2014-06-22,"воскресенье","1.539kwh"
"7PM",2014-12-11,"четверг","2.059kwh"
"3PM",2014-06-17,"вторник","40.77kwh"
"12PM",2014-03-14,"пятница","40.34kwh"
"4AM",2014-09-14,"воскресенье","0.239kwh"
"9PM",2014-12-03,"среда","0.785kwh"
"9PM",2014-11-27,"четверг","0.292kwh"
"4PM",2014-02-17,"понедельник","0.394kwh"
"1PM",2014-04-24,"четверг","0.096kwh"
"4PM",2014-05-29,"четверг","0.301kwh"
"8AM",2014-08-05,"вторник","40.48kwh"
"1AM",2014-09-04,"четверг","0.147kwh"
"6AM",2014-09-19,"пятница","0.924kwh"
"5AM",2014-11-15,"суббота","40.15kwh"
"7PM",2014-02-19,"среда","2.203kwh"
"6PM",2014-05-13,"вторник","0.974kwh"
"10PM",2014-11-18,"вторник","0.239kwh"
"1AM",2014-08-23,"суббота","0.342kwh"
"9AM",2014-01-11,"суббота","41.53kwh"
"3PM",2014-10-19,"воскресенье","0.459kwh"
"3PM",2014-06-18,"среда","0.792kwh"
"5PM",2014-07-28,"понедельник","3.151kwh"
"8PM",2014-10-24,"пятница","0.979kwh"
"6PM",2014-11-28,"пятница","0.599kwh"
"4PM",2014-06-24,"вторник","40.59kwh"
"8AM",2014-12-25,"четверг","0.484kwh"
"8AM",2014-09-12,"пятница","0.302kwh"
"1PM",2014-04-17,"четверг","40.13kwh"
"1PM",2014-04-28,"понедельник","0.112kwh"
"12AM",2014-06-20,"пятница","0.432kwh"
"2AM",2014-03-25,"вторник","0.152kwh"
"12PM",2014-03-28,"пятница","0.388kwh"
"12AM",2014-06-25,"среда","0.599kwh"
"3AM",2014-08-20,"среда","0.202kwh"
"12PM",2014-06-18,"среда","1.071kwh"
"10PM",2014-08-10,"воскресенье","0.552kwh"
"3AM",2014-12-06,"суббота","0.383kwh"
"10PM",2014-11-06,"четверг","0.236kwh"
"10PM",2014-08-07,"четверг","0.642kwh"
"12AM",2014-01-31,"пятница","0.708kwh"
"4AM",2014-07-29,"вторник","0.542kwh"
"8PM",2014-05-09,"пятница","1.395kwh"
"11PM",2014-01-07,"вторник","40.84kwh"
"2PM",2014-10-13,"понедельник","0.257kwh"
"7PM",2014-08-03,"воскресенье","1.879kwh"
"4AM",2014-06-02,"понедельник","0.389kwh"
"2PM",2014-12-03,"среда","0.352kwh"
"1AM",2014-06-09,"понедельник","0.407kwh"
"7PM",2014-11-15,"суббота","0.948kwh"
"11AM",2014-12-11,"четверг","0.644kwh"
"6PM",2014-03-26,"среда","0.952kwh"
"2PM",2014-03-30,"воскресенье","40.73kwh"
"10AM",2014-06-14,"суббота","1.274kwh"
"3PM",2014-12-27,"суббота","1.148kwh"
"10AM",2014-05-19,"понедельник","0.381kwh"
"12PM",2014-07-27,"воскресенье","1.627kwh"
"4PM",2014-07-26,"суббота","42.57kwh"
"8AM",2014-07-31,"четверг","0.893kwh"
"5AM",2014-12-09,"вторник","1.077kwh"
"5AM",2014-05-10,"суббота","0.281kwh"
"11PM",2014-02-20,"четверг","40.72kwh"
"7PM",2014-11-19,"среда","0.907kwh"
"1AM",2014-10-13,"понедельник","0.101kwh"
"8PM",2014-07-21,"понедельник","3.955kwh"
"9PM",2014-12-25,"четверг","0.713kwh"
"12PM",2014-09-15,"понедельник","0.336kwh"
"6AM",2014-06-14,"суббота","1.555kwh"
"10PM",2014-06-03,"вторник","0.954kwh"
"10PM",2014-04-22,"вторник","0.137kwh"
"10PM",2014-10-19,"воскресенье","0.291kwh"
"2PM",2014-07-23,"среда","0.941kwh"
"2AM",2014-04-15,"вторник","0.057kwh"
"8AM",2014-07-16,"среда","1.094kwh"
"9PM",2014-05-09,"пятница","0.333kwh"
"1AM",2014-08-06,"среда","40.25kwh"
"9AM",2014-05-16,"пятница","40.25kwh"
"5AM",2014-02-21,"пятница","1.399kwh"
"4PM",2014-06-30,"понедельник","0.634kwh"
"8AM",2014-10-28,"вторник","0.262kwh"
"10PM",2014-08-21,"четверг","40.51kwh"
"9AM",2014-03-28,"пятница","0.286kwh"
"4AM",2014-12-11,"четверг","0.213kwh"
"4AM",2014-10-29,"среда","0.124kwh"
"9PM",2014-07-13,"воскресенье","1.152kwh"
"6PM",2014-11-13,"четверг","40.68kwh"
"12PM",2014-07-14,"понедельник","41.32kwh"
"12PM",2014-04-18,"пятница","0.159kwh"
"1PM",2014-04-14,"понедельник","0.096kwh"
"2PM",2014-08-27,"среда","0.427kwh"
"5AM",2014-04-13,"воскресенье","0.074kwh"
"10PM",2014-02-22,"суббота","0.494kwh"
"2PM",2014-02-04,"вторник","0.384kwh"
"2PM",2014-10-31,"пятница","0.257kwh"
"4AM",2014-11-15,"суббота","0.146kwh"
"10AM",2014-01-24,"пятница","0.704kwh"
"8PM",2014-01-21,"вторник","3.232kwh"
"10PM",2014-01-22,"среда","40.80kwh"
"5AM",2014-03-15,"суббота","0.228kwh"
"2PM",2014-09-20,"суббота","0.599kwh"
"10AM",2014-03-31,"понедельник","0.365kwh"
"8AM",2014-09-28,"воскресенье","1.037kwh"
"1PM",2014-04-13,"воскресенье","0.151kwh"
"4PM",2014-03-14,"пятница","0.269kwh"
"7PM",2014-08-27,"среда","42.57kwh"
"10AM",2014-10-17,"пятница","0.252kwh"
"3PM",2014-11-01,"суббота","0.381kwh"
"11AM",2014-01-30,"четверг","40.93kwh"
"8PM",2014-03-30,"воскресенье","41.67kwh"
"11PM",2014-05-28,"среда","0.404kwh"
"7PM",2014-12-07,"воскресенье","2.039kwh"
"10PM",2014-08-15,"пятница","0.983kwh"
"4PM",2014-11-19,"среда","0.146kwh"
"1AM",2014-06-13,"пятница","0.346kwh"
"9AM",2014-04-21,"понедельник","0.107kwh"
"7AM",2014-07-15,"вторник","2.592kwh"
"2PM",2014-11-26,"среда","40.20kwh"
"6PM",2014-04-14,"понедельник","0.403kwh"
"5AM",2014-06-15,"воскресенье","0.583kwh"
"3AM",2014-11-30,"воскресенье","0.123kwh"
"4PM",2014-02-15,"суббота","0.886kwh"
"6AM",2014-04-11,"пятница","0.346kwh"
"7AM",2014-08-06,"среда","0.918kwh"
"7AM",2014-07-06,"воскресенье","3.168kwh"
"4PM",2014-03-30,"воскресенье","40.59kwh"
"8PM",2014-06-10,"вторник","42.88kwh"
"3AM",2014-12-13,"суббота","0.327kwh"
"12AM",2014-05-17,"суббота","0.614kwh"
"4PM",2014-11-25,"вторник","0.212kwh"
"12PM",2014-12-13,"суббота","0.554kwh"
"4AM",2014-11-09,"воскресенье","0.132kwh"
"2AM",2014-02-13,"четверг","0.254kwh"
"3AM",2014-04-28,"понедельник","0.049kwh"
"6AM",2014-01-10,"пятница","2.472kwh"
"6PM",2014-06-28,"суббота","3.596kwh"
"1PM",2014-02-14,"пятница","40.48kwh"
"7PM",2014-03-03,"понедельник","1.238kwh"
"5AM",2014-02-07,"пятница","1.056kwh"
"2AM",2014-03-03,"понедельник","0.134kwh"
"11PM",2014-01-16,"четверг","41.09kwh"
"7AM",2014-12-05,"пятница","1.079kwh"
"5AM",2014-03-21,"пятница","0.801kwh"
"5PM",2014-05-03,"суббота","0.648kwh"
"7PM",2014-10-19,"воскресенье","1.242kwh"
"8AM",2014-12-20,"суббота","1.244kwh"
"7PM",2014-05-10,"суббота","1.714kwh"
"3AM",2014-03-01,"суббота","40.23kwh"
"1PM",2014-12-12,"пятница","0.378kwh"
"1PM",2014-01-09,"четверг","0.792kwh"
"6AM",2014-09-30,"вторник","0.966kwh"
"4PM",2014-05-15,"четверг","0.262kwh"
"2AM",2014-05-20,"вторник","0.144kwh"
"4AM",2014-05-10,"суббота","0.259kwh"
"1AM",2014-07-05,"суббота","0.857kwh"
"10AM",2014-12-15,"понедельник","40.48kwh"
"9PM",2014-04-19,"суббота","0.124kwh"
"2PM",2014-03-17,"понедельник","0.339kwh"
"4AM",2014-04-18,"пятница","0.048kwh"
"3AM",2014-06-01,"воскресенье","0.583kwh"
"1AM",2014-05-09,"пятница","40.17kwh"
"3AM",2014-09-21,"воскресенье","0.208kwh"
"7AM",2014-06-12,"четверг","1.539kwh"
"6AM",2014-05-19,"понедельник","0.806kwh"
"6AM",2014-03-19,"среда","0.768kwh"
"12AM",2014-04-18,"пятница","0.078kwh"
